id,code,brand_name
1,B0001,Mazda
2,B0002,GAC
3,B0003,Volvo
4,B0004,Vinfast
5,B0005,Haval
6,B0006,Skoda
7,B0007,RAM
8,B0008,Aston Martin
9,B0009,Lynk & Co
10,B0010,Aion
11,B0011,Porsche
12,B0012,BMW
13,B0013,Mercedes
14,B0014,Omoda
15,B0015,Peugoet
16,B0016,Volkswagen
17,B0017,Isuzu
18,B0018,Audi
19,B0019,Jaguar
20,B0020,MG
21,B0021,Haima
22,B0022,Nissan
23,B0023,HongQi
24,B0024,Subaru
25,B0025,Mini
26,B0026,Ford
27,B0027,Lexus
28,B0028,Jeep
29,B0029,BYD
30,B0030,Honda
31,B0031,Bentley
32,B0032,Maserati
33,B0033,Mitsubishi
34,B0034,Huyndai
35,B0035,Wuling
36,B0036,Toyota
37,B0037,Suzuki
38,B0038,Kia
39,B0039,Land Rover
