id,code,size,price,service_id,service_code,
1,SC0001,S,150,1,S0001,
2,SC0002,M,150,1,S0001,
3,SC0003,L,170,1,S0001,
4,SC0004,S,250,2,S0002,
5,SC0005,M,300,2,S0002,
6,SC0006,L,350,2,S0002,
7,SC0007,S,850,3,S0003,
8,SC0008,M,950,3,S0003,
9,SC0009,L,1050,3,S0003,
10,SC0010,S,2500,4,S0004,
11,SC0011,M,2500,4,S0004,
12,SC0012,L,3000,4,S0004,
13,SC0013,S,1800,5,S0005,
14,SC0014,M,1800,5,S0005,
15,SC0015,L,1800,5,S0005,
16,SC0016,S,1500,6,S0006,
17,SC0017,M,1500,6,S0006,
18,SC0018,L,1500,6,S0006,
19,SC0019,S,300,7,S0007,
20,SC0020,M,400,7,S0007,
21,SC0021,L,500,7,S0007,
22,SC0022,S,1100,8,S0008,
23,SC0023,M,1200,8,S0008,
24,SC0024,L,1300,8,S0008,
25,SC0025,S,1200,9,S0009,
26,SC0026,M,1200,9,S0009,
27,SC0027,L,1200,9,S0009,
28,SC0028,S,2200,10,S0010,
29,SC0029,M,2500,10,S0010,
30,SC0030,L,2800,10,S0010,
31,SC0031,S,3200,11,S0011,
32,SC0032,M,3500,11,S0011,
33,SC0033,L,3800,11,S0011,
34,SC0034,S,500,12,S0012,
35,SC0035,M,500,12,S0012,
36,SC0036,L,500,12,S0012,
37,SC0037,S,10500,13,S0013,
38,SC0038,M,11500,13,S0013,
39,SC0039,L,12500,13,S0013,
40,SC0040,S,2100,14,S0014,
41,SC0041,M,2200,14,S0014,
42,SC0042,L,2300,14,S0014,
43,SC0043,S,3100,15,S0015,
44,SC0044,M,3200,15,S0015,
45,SC0045,L,3300,15,S0015,
46,SC0046,S,2200,16,S0016,
47,SC0047,M,2200,16,S0016,
48,SC0048,L,2200,16,S0016,
