"code","size_code","package_name","listed_price","note","delete_flag","created_by","updated_by","created_at","updated_at","exclusive_key"
PW0001,S2,Supreme,16000000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0002,S3,Supreme,18800000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0003,S2,Premium,13000000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0004,S3,Premium,15800000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0005,S2,Crystalline +,14800000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0006,S2,Crystalline,11400000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0007,S2,Premium,9000000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0008,S2,Standard,6900000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0009,S3,Crystalline +,17600000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0010,S3,Crystalline,12900000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0011,S3,Premium,10500000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0012,S3,Standard,8300000,3M,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0013,S1,Force Shield,45000000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0014,S2,Force Shield,50000000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0015,S3,Force Shield,55000000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PW0016,S4,Force Shield,65000000,STEK,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
