"code","brand_code","product_name","position_code","listed_price","note","delete_flag","created_by","updated_by","created_at","updated_at","exclusive_key"
PP0001,B1,Vision 70S,PO1,7000000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0002,B1,Nex 35/15,PO2,1400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0003,B1,Nex 35/15,PO3,1400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0004,B1,Nex 60/45,PO1,4000000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0005,B1,Nex15/05,PO2,1400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0006,B1,Nex15/05,PO3,1400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0007,B1,Nex 15/05,PO4,3400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0008,B2,CR60/CR70,PO1,5700000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0009,B2,CR40/ CR20,PO2,2600000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0010,B2,CR40/ CR20,PO3,2600000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0011,B2,IR25/IR15,PO2,1800000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0012,B2,IR25/IR15,PO3,1800000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0013,B2,IR50,PO1,3300000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0014,B2,Ceramic 70,PO1,2400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0015,B2,Ceramic 15/35,PO3,1400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
PP0016,B2,Ceramic 15/35,PO2,1400000,,false,admin,,2025-09-27 23:36:09.227,2025-09-27 23:36:09.227,0
