"code","position_name","note","delete_flag","created_by","updated_by","created_at","updated_at","exclusive_key"
PO1,Kính lái,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO2,Sườn trước,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO3,Sườn sau,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO4,Kính lưng,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO5,Đèn trước (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO6,Đèn hậu (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO7,Gương (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO8,Nắp khoang máy,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO9,Nóc,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO10,Fender (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO11,Cửa trước (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO12,Cửa sau (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO13,Thân xe (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO14,Nắp cốp,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO15,Cản trước,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO16,Cản sau,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO17,Lườn (2),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO18,Chén cửa (4),,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO20,Nội thất,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO21,Cột A/B/C,,false,admin,,2025-09-27 23:30:36.081,2025-09-27 23:30:36.081,0
PO19,Bệ bước/ bệ cốp,,false,admin,,2025-09-27 23:33:54.728,2025-09-27 23:30:36.081,0
