ID,Brand,Model,Size,Note
1,Mazda,Mazda2,,
2,Mazda,CX-3,,
3,Mazda,Mazda3,,
4,Mazda,Mazda6,,
5,Mazda,CX-30,,
6,Mazda,CX-5,,
7,Mazda,CX-8,,
8,Mazda,BT-50,,
9,GAC,GS8,,
10,GAC,M8,,
11,GAC,M6 Pro,,
12,Volvo,XC40,,
13,Volvo,XC60,,
14,Volvo,XC90,,
15,Volvo,V90,,
16,Volvo,V60 Cross Country,,
17,Volvo,S90,,
18,Vinfast,Fadil,,
19,Vinfast,Lux A2.0,,
20,Vinfast,Lux SA2.0,,
21,Vinfast,President,,
22,Vinfast,VF e34,,
23,Vinfast,VF 8,,
24,Vinfast,VF 5,,
25,Vinfast,VF 9,,
26,Vinfast,VF 6,,
27,Vinfast,VF 7,,
28,Vinfast,VF 3,,
29,Haval,H6,,
30,Skoda,Karoq,,
31,Skoda,Kodiaq,,
32,RAM,1500,,
33,Aston Martin,DBX,,
34,Lynk & Co ,Lynk & Co 09,,
35,Lynk & Co ,Lynk & Co 06,,
36,Lynk & Co ,Lynk & Co 01,,
37,Lynk & Co ,Lynk & Co 05,,
38,Lynk & Co ,Lynk & Co 03,,
39,Aion,Y Plus,,
40,Aion,ES,,
41,Porsche,718,,
42,Porsche,911,,
43,Porsche,Taycan,,
44,Porsche,Panamera,,
45,Porsche,Macan,,
46,Porsche,Cayenne,,
47,Porsche,Macan EV,,
48,BMW,Series 5,,
49,BMW,Series 7,,
50,BMW,X1,,
51,BMW,X3,,
52,BMW,X4,,
53,BMW,X6,,
54,BMW,Z4 Roadster,,
55,BMW,Series 3,,
56,BMW,X5,,
57,BMW,X7,,
58,BMW,Series 4,,
59,BMW,i7,,
60,BMW,Series 8,,
61,BMW,iX3,,
62,BMW,i4,,
63,BMW,XM,,
64,Mercedes,A-class,,
65,Mercedes,C-Class,,
66,Mercedes,E-Class,,
67,Mercedes,S-Class,,
68,Mercedes,GLC,,
69,Mercedes,GLB,,
70,Mercedes,GLS,,
71,Mercedes,G-Class,,
72,Mercedes,GT-Coupe,,
73,Mercedes,V-Class,,
74,Mercedes,GLE,,
75,Mercedes,GLA,,
76,Mercedes,EQS,,
77,Mercedes,EQS SUV,,
78,Mercedes,EQB,,
79,Mercedes,EQE SUV,,
80,Mercedes,AMG SL,,
81,Mercedes,Maybach EQS SUV,,
82,Omoda,C5,,
83,Peugoet,2008,,
84,Peugoet,3008,,
85,Peugoet,5008,,
86,Peugoet,Traveller,,
87,Peugoet,408,,
88,Volkswagen,Polo,,
89,Volkswagen,Tiguan,,
90,Volkswagen,Passat,,
91,Volkswagen,T-Cross,,
92,Volkswagen,Touareg,,
93,Volkswagen,Virtus,,
94,Volkswagen,Viloran,,
95,Volkswagen,Teramont X,,
96,Volkswagen,Teramont,,
97,Isuzu,mu-X,,
98,Isuzu,D-Max,,
99,Audi,A4,,
100,Audi,Q2,,
101,Audi,Q3,,
102,Audi,Q5,,
103,Audi,Q7,,
104,Audi,Q8,,
105,Audi,A8L,,
106,Audi,e-tron GT,,
107,Audi,Q8 e-tron,,
108,Audi,A6,,
109,Audi,A7,,
110,Jaguar ,XE,,
111,Jaguar ,XF,,
112,Jaguar ,F-Pace,,
113,Jaguar ,E-Pace,,
114,Jaguar ,F-Type,,
115,MG,ZS,,
116,MG,HS,,
117,MG,MG5,,
118,MG,RX5,,
119,MG,MG4 EV,,
120,MG,MG7,,
121,MG,Cyberster,,
122,Haima,7X-E,,
123,Haima,7X,,
124,Nissan,Navara,,
125,Nissan,Almera,,
126,Nissan,Kicks,,
127,HongQi,E-HS9,,
128,HongQi,H9,,
129,Subaru,Forester,,
130,Subaru,Outback,,
131,Subaru,BR-Z,,
132,Subaru,WRX,,
133,Subaru,Crosstrek,,
134,Mini,3 Door,,
135,Mini,5 Door,,
136,Mini,Countryman,,
137,Mini,JCW,,
138,Ford,EcoSport,,
139,Ford,Everest,,
140,Ford,Ranger,,
141,Ford,Explorer,,
142,Ford,Territory,,
143,Ford,Ranger Raptor,,
144,Lexus,IS,,
145,Lexus,LS,,
146,Lexus,NX,,
147,Lexus,RX,,
148,Lexus,LX,,
149,Lexus,LM,,
150,Lexus,GX,,
151,Jeep,Wrangler,,
152,Jeep,Gladiator,,
153,Jeep,Grand Cherokee L,,
154,BYD,Atto 3,,
155,BYD,Seal,,
156,BYD,Dolphin,,
157,BYD,M6,,
158,BYD,Han,,
159,Honda,City,,
160,Honda,HR-V,,
161,Honda,CR-V,,
162,Honda,Accord,,
163,Honda,Brio,,
164,Honda,Civic,,
165,Honda,Civic Type R,,
166,Honda,BR-V,,
167,Bentley,Flying Spur,,
168,Bentley,Bentayga,,
169,Bentley,Continental,,
170,Maserati,Levante,,
171,Maserati,Ghibli,,
172,Maserati,Quattroporte,,
173,Maserati,Grecale,,
174,Maserati,GranTurismo,,
175,Mitsubishi,Attrage,,
176,Mitsubishi,Outlander,,
177,Mitsubishi,Triton,,
178,Mitsubishi,Pajero Sport,,
179,Mitsubishi,Xpander,,
180,Mitsubishi,Xforce,,
181,Huyndai,i10,,
182,Huyndai,Accent,,
183,Huyndai,Kona,,
184,Huyndai,Elantra,,
185,Huyndai,Tucson,,
186,Huyndai,Santa Fe,,
187,Huyndai,Creta,,
188,Huyndai,Stargazer,,
189,Huyndai,Ioniq 5,,
190,Huyndai,Custin,,
191,Huyndai,Palisade,,
192,Huyndai,Venue,,
193,Wuling,Hongguang Mini EV,,
194,Wuling,Bingo,,
195,Toyota,Wigo,,
196,Toyota,Vios,,
197,Toyota,Corolla Altis,,
198,Toyota,Camry,,
199,Toyota,Rush,,
200,Toyota,Avanza,,
201,Toyota,Innova,,
202,Toyota,Fortuner,,
203,Toyota,Granvia,,
204,Toyota,Land Cruiser LC300,,
205,Toyota,Land Cruiser Prado,,
206,Toyota,Corolla Cross,,
207,Toyota,Hilux,,
208,Toyota,Alphard,,
209,Toyota,Yaris,,
210,Toyota,Raize,,
211,Toyota,Avanza Premio,,
212,Toyota,Veloz Cross,,
213,Toyota,Yaris Cross,,
214,Toyota,Innova Cross,,
215,Suzuki,Swift,,
216,Suzuki,Ciaz,,
217,Suzuki,Ertiga,,
218,Suzuki,XL7,,
219,Suzuki,Jimny,,
220,Kia,Morning,,
221,Kia,Soluto,,
222,Kia,Cerato,,
223,Kia,Optima,,
224,Kia,Sorento,,
225,Kia,Rondo,,
226,Kia,Quoris,,
227,Kia,K3,,
228,Kia,Carnival,,
229,Kia,Sonet,,
230,Kia,K5,,
231,Kia,Sportage,,
232,Kia,Carens,,
233,Kia,Seltos,,
